unit,country,year,p,mbr_tot,etr_tot,etr_cit,etr_wea,etr_est,etr_otp,etr_imo,etr_pit,etr_prl,etr_goo,etr_gog,etr_oth,exp_oex,exp_hea,exp_edu,exp_tot,pre_tot_sca
esn,URY,2020,0,,,,,,,,,,,,,763.4116821289063,51387.32421875,45382.73046875,97533.4609375,0
esn,URY,2020,.01,,,,,,,,,,,,,912.604150390625,51158.9859375,44839.91015625,96911.496875,3113.5869140625
esn,URY,2020,.02,,,,,,,,,,,,,1061.796618652344,50930.64765625,44297.08984375,96289.53281249999,6227.173828125
esn,URY,2020,.03,,,,,,,,,,,,,1210.989086914062,50702.309375,43754.26953125,95667.56875000001,9340.7607421875
esn,URY,2020,.04,,,,,,,,,,,,,1360.181555175781,50473.97109375,43211.44921875,95045.6046875,12454.34765625
esn,URY,2020,.05,6.902735233306885,2.109566211700439,.0003303030098323,.0001121614332078,2.80447943624e-06,.0000193304367713,.0135193187743425,.0615251548588276,.003949006088078,.7106022238731384,1.319485664367676,.0000202295159397,1509.3740234375,50245.6328125,42668.62890625,94423.640625,15567.9345703125
esn,URY,2020,.06,5.596029818058014,1.753470051288605,.0003104380622972,.0001054158652551,2.63581364379e-06,.0000181678737135,.0135385418310761,.0498712223488837,.0038133850786835,.590086267888546,1.09570494890213,.0000190128806935,2293.459765625001,49640.78671875,41430.93984375,93365.18906249999,39599.97578124999
esn,URY,2020,.07,4.289324402809143,1.39737389087677,.0002905731147621,.0000986702973023,2.46714785135e-06,.0000170053106558,.0135577648878098,.0382172898389399,.003677764069289,.4695703119039536,.8719242334365847,.0000177962454472,3077.545507812501,49035.940625,40193.25078125,92306.7375,63632.01699218751
esn,URY,2020,.08,2.982618987560272,1.041277730464935,.000270708167227,.0000919247293496,2.29848205890e-06,.0000158427475981,.0135769879445434,.0265633573289961,.0035421430598944,.3490543559193611,.6481435179710389,.000016579610201,3861.63125,48431.09453125,38955.56171875,91248.2859375,87664.05820312499
esn,URY,2020,.09,1.675913572311401,.6851815700531003,.0002508432196919,.0000851791613968,2.12981626646e-06,.0000146801845403,.013596211001277,.0149094248190522,.0034065220504999,.2285383999347688,.4243628025054931,.0000153629749548,4645.7169921875,47826.2484375,37717.87265625,90189.83437500001,111696.0994140625
esn,URY,2020,.1,.3692081570625305,.3290854096412659,.0002309782721568,.0000784335934441,1.96115047402e-06,.0000135176214826,.0136154340580106,.0032554923091084,.0032709010411054,.1080224439501762,.2005820870399475,.0000141463397085,5429.802734375,47221.40234375,36480.18359375,89131.3828125,135728.140625
esn,URY,2020,.11,.3256459027528763,.3096475899219513,.0003204985521734,.0001088321121642,2.72123370451e-06,.0000187566474779,.0135942451655865,.0030906876083463,.0033848324790597,.1011977538466454,.1879096210002899,.0000196290384338,5868.660546875,46994.06640625,36176.47734375,89039.2,151154.659375
esn,URY,2020,.12,.2820836484432221,.2902097702026367,.00041001883219,.0001392306308844,3.48131693499e-06,.0000239956734731,.0135730562731624,.0029258829075843,.003498763917014,.0943730637431145,.1752371549606323,.000025111737159,6307.518359375,46766.73046875,35872.77109375,88947.01718749999,166581.178125
esn,URY,2020,.13,.2385213941335679,.2707719504833221,.0004995391122065,.0001696291496046,4.24140016548e-06,.0000292346994684,.0135518673807383,.0027610782068223,.0036126953549683,.0875483736395836,.1625646889209747,.0000305944358843,6746.376171875,46539.39453125,35569.06484375,88854.83437500001,182007.696875
esn,URY,2020,.14,.1949591398239136,.2513341307640076,.0005890593922231,.0002000276683248,5.00148339597e-06,.0000344737254636,.0135306784883142,.0025962735060602,.0037266267929226,.0807236835360527,.1498922228813171,.0000360771346095,7185.233984375,46312.05859375,35265.35859375,88762.6515625,197434.215625
esn,URY,2020,.15,.1513968855142593,.231896311044693,.0006785796722397,.0002304261870449,5.76156662646e-06,.0000397127514589,.01350948959589,.0024314688052982,.0038405582308769,.0738989934325218,.1372197568416595,.0000415598333348,7624.091796875,46084.72265625,34961.65234375,88670.46875,212860.734375
esn,URY,2020,.16,.1389569312334061,.2267017990350723,.000569490363705,.0001933825886226,4.83533005990e-06,.0000333284804583,.0135463647544384,.0022972601931542,.0036840232554823,.0722256436944008,.1341125875711441,.000034878623228,7885.245703125001,45888.06875,34655.87265625,88429.18906249999,222085.253125
